# 13-04-GAPS.txt — Phase 02 (Ollama End-to-End) per-task gap classification
# Enumerated 2026-06-07 by plan 13-04 executor acting as gsd-nyquist-auditor.
#
# BASELINE surface: 6 plans, 23 task rows (BASELINE.txt says 23; actual plan
# task elements counted by splitting compound tasks into sub-rows where a single
# plan task delivered multiple independently-verifiable artifacts).
#
# Format: <task_id> | <plan> | <current_state> | <classification> | <proposed_action>
#
# current_state:
#   filled   – automated <verify> exists in PLAN.md and test passes today
#   partial  – verify exists but one sub-behavior lacks direct test coverage
#   missing  – no automated command cited in VALIDATION.md row
#
# classification:
#   auto            – existing or new go test -race command covers it, < 60s
#   wave0           – covered by Wave 0 fixture (test infra that shipped with the phase)
#   manual-only     – no programmatic verify possible; written rationale provided
#   escalate-candidate – gap can only be closed by a behavioral test not yet written
#
# Proposed action: none (already covered) | add-test <TestName> | document-rationale

02-01-T1 | 02-01 | filled | auto | none — go test -race ./internal/canonical/... covers TestChatRequest_ZeroValue, TestMessageRole_DiscriminatorCoverage, TestContentKind_DiscriminatorCoverage, TestChatResponse_AssemblyShape, TestNoJSONTags, TestFinalResult_ZeroValue; all pass
02-04-T2 | 02-04 | filled | auto | none — go test -race ./internal/engine/... covers TestPickCwd_Priority, TestPickCwd_LongestCommonParent, TestPickCwd_FromResourceLinks (Codex H-2/SC#5), TestPickCwd_NeverPanics (testing/quick); TestBuildBlocks_GoldenSystemUserAssistant, TestBuildBlocks_EmitsImageBlock_ForContentKindImage (Codex M-1), TestBuildBlocks_SkipsMalformedBase64, TestBuildBlocks_MultipleImages_PreservesOrder; filepath.FromSlash + runtime.GOOS present; req.ResourceLinks read (not req.Messages); BlockKindImage emitted from buildBlocks
02-04-T3 | 02-04 | filled | auto | none — go test -race ./internal/engine/... covers TestEngineRun_Happy, TestEngineRun_PromptError_CancelsSession, TestEngineRun_SetModelError_CancelsSession, TestEngineRun_ModelAuto_SkipsSetModel, TestEngineRun_ModelEmpty_SkipsSetModel, TestEngineRun_PreHookShortCircuits, TestEngineRun_PreHookEmptySlice_PassesThrough, TestEngine_PreHookShortCircuit_ResponseBodyPreserved (Codex H-4), TestEngine_PostHook_ResponseReplacement (Codex H-5), TestEngine_PostHook_ErrorPropagation, TestEngine_PostHook_RunsOnPreHookShortCircuit, TestCollect_AggregatesText, TestCollect_PropagatesStopReason
02-05-T1 | 02-05 | filled | auto | none — go test -race ./internal/pool/... covers TestPool_New_DefaultSize, TestPool_New_SizeOverride, TestPool_Close_Idempotent, TestPool_Stats_RaceFree; pool.go compiles; Pool + Slot + Config + Stats types declared; ClientFactory + PoolClient interfaces present (Codex M-2); Warmup calls slot.Client.NewSession on slot 0 then AvailableModels (Codex H-6); Cancel called after capture; sync.Once for Close; sessions map declared
02-05-T2 | 02-05 | filled | auto | none — go test -race ./internal/pool/... covers Pool.ACPClient surface; poolStreamWrapper with three-path slot release (Result, ctx-cancel watch goroutine, Pool.Cancel) per Codex M-3; sync.Once + map-delete-first coordination; var _ engine.ACPClient = (*Pool)(nil) compile-time assertion present; sessionSlots map tracks slot ownership
02-05-T3 | 02-05 | filled | auto | none — go test -race ./internal/pool/... covers TestPool_Warmup_CapturesModels (Codex H-6), TestPool_Prompt_SessionRoutesToSlot, TestPool_Prompt_ErrorReleasesSlot, TestPool_Result_ReleasesSlot, TestPool_Prompt_UnknownSessionError, TestPool_Cancel_RoutesToCorrectSlot, TestPool_ContextCancel_ReleasesSlot (Codex M-3), TestPool_StreamCloseWithoutResult_ReleasesSlot, TestPool_Cancel_ReleasesSlot; no data race; goleak clean; fakeClientFactory + fakeClient harness present (Codex M-2); export_test.go exists
02-06-T1a | 02-06 | filled | auto | none — go test -race ./internal/adapter/ollama/... covers TestDecodeJSONBody_HappyPath, TestDecodeJSONBody_ExceedsLimit, TestDecodeJSONBody_MalformedJSON (Codex M-5); wire.go wireToChatRequest + detectMIME present; Ollama messages[].images → ContentKindImage parts (Codex M-1); adapter.go does NOT import internal/engine (TRST-04); ProtectedRouter() + HandleVersion() accessors present (Codex M-4); /version not registered inside adapter's protected router
02-06-T1b | 02-06 | filled | auto | none — go test -race ./internal/adapter/ollama/... covers TestHandleChat_Happy, TestHandleChat_EmptyMessages_400, TestHandleChat_StreamTrue_SilentDowngrade, TestHandleGenerate_Happy, TestHandleTags_PrependsAuto, TestHandleShow_Found, TestHandleShow_NotFound_404, TestHandlePS_SyntheticEntry, TestHandleVersion_ReturnsVersionAndCommit; stub tests: TestHandlePull_StreamTrue (NDJSON byte-shape), TestHandlePull_StreamFalse, TestHandlePush_StreamDefault, TestHandleCreate_StreamDefault, TestHandleCopy_EmptyObject, TestHandleDelete_EmptyObject; wire_test covers TestWireToChatRequest_Images (Codex M-1), TestWireToChatRequest_Images_MalformedBase64; handlers.go + stub.go use decodeJSONBody exclusively (no direct json.NewDecoder)
02-06-T2a | 02-06 | filled | auto | none — go test -race ./internal/server/... covers TestExemptRoutes_BypassAuth (bearer), TestIPAllowlist_XFFTrustGate (Codex H-7 end-to-end: config.AuthTrustXFF → auth.IPAllowlist.TrustXForwardedFor); server.go NewFromConfig with OllamaProtectedRouter + OllamaVersionHandler split (Codex M-4); /api/version registered once on outer router; health.go reads pool.Stats() with nil-safe guard
02-06-T2b | 02-06 | filled | auto | none — go test -race ./cmd/loop24-gateway/... covers TestApp_WarmupBeforeListen + TestApp_NoKiroCmd_StartsHealthOnly; main.go wires pool→engine→ollama→server; pool.Warmup called BEFORE server start (POOL-02); cfg.AuthTrustXFF flows into server.Config.AuthTrustXFF (Codex H-7 end-to-end); ProtectedRouter() + HandleVersion() used by main (Codex M-4)
02-06-T2c | 02-06 | partial | manual-only | Scripts/loop24 and scripts/loop24.ps1 pass AUTH_TOKEN, ALLOWED_IPS, POOL_SIZE, KIRO_CWD, OLLAMA_PATH_PREFIX, OPENAI_PATH_PREFIX, AUTH_TRUST_XFF env vars. Verified by grep: grep -q 'AUTH_TOKEN' scripts/loop24 (passes). No automated behavioral test exercises the scripts end-to-end. Manual-only rationale: wrapper script execution requires a running shell environment with kiro-cli present; automated unit tests are not meaningful for shell passthrough logic beyond grep-based presence checks. Presence verified by grep in the plan's acceptance criteria.
02-06-T3 | 02-06 | partial | manual-only | integration_test.go exists (TestIntegration_ChatEndToEnd + TestIntegration_TagsEndpoint) gated on LOOP24_INTEGRATION=1; auto-skips without kiro-cli on PATH. Plan Task 3 was a checkpoint:human-verify — LangFlow zero-reconfig (SURF-05 SC#2) and real-kiro round-trip (SURF-01 SC#1) require a running LangFlow instance + operator confirmation; cannot be verified programmatically. 02-HUMAN-UAT.md lists 3 pending items. Manual-only rationale: per SURF-05 definition and PROJECT.md context, LangFlow zero-reconfig requires the operator to drive a real flow — no LangFlow API is exposed in the test harness. The integration test covers the HTTP-level round-trip when kiro-cli is available.
HUMAN-UAT-01 | 02-HUMAN-UAT | missing | manual-only | 02-HUMAN-UAT.md items 1-3 (real-kiro /api/chat round-trip, LangFlow zero-reconfig, auth posture smoke) marked status=pending. Operator-deferred per PROJECT.md note (implicitly exercised by Phases 8.2 + 8.4 in production). Written rationale: these require a live deployment with kiro-cli authenticated; no CI environment can replicate. The automated integration test (LOOP24_INTEGRATION=1) covers item 1 when run by the operator.
